id,facility,animal,url,play
0,Aquarium of the Pacific,African penguin,https://www.youtube.com/embed/CTRonVgRe1E?rel=0&autoplay=1,
1,Aquarium of the Pacific,African penguin,https://www.youtube.com/embed/muv29jLpEnA?rel=0&autoplay=1,
2,Aquarium of the Pacific,shark & fish,https://www.youtube.com/embed/LvfaMv9nbJc?rel=0&autoplay=1,
4,Aquarium of the Pacific,sea nettles,https://www.youtube.com/embed/LC5vcXA4OGU?rel=0&autoplay=1,
5,Aquarium of the Pacific,tropical reef,https://www.youtube.com/embed/CEzSXX3tcmU?rel=0&autoplay=1,
6,Aquarium of the Pacific,blue cavern,https://www.youtube.com/embed/ogMTmdbYaPs?rel=0&autoplay=1,
7,San Diego Zoo,hippo,https://zssd-hippo.secureplayer.camzonecdn.com/v1.3/CamzoneStreamPlayer?iframe=yes&channel=zssd-hippo&muted=yes,
8,San Diego Zoo,platypus,https://zssd-platypus.player.camzonecdn.com/v1.5/CamzoneStreamPlayer?channel=zssd-platypus&iframe=yes,
9,San Diego Zoo,baboon,https://zssd-baboon.secureplayer.camzonecdn.com/v1.3/CamzoneStreamPlayer?iframe=yes&channel=zssd-baboon&muted=yes,
10,San Diego Zoo,African penguin,https://zssd-penguin.secureplayer.camzonecdn.com/v1.3/CamzoneStreamPlayer?iframe=yes&channel=zssd-penguin&muted=yes,
11,San Diego Zoo,polar bear,https://polarplunge.secureplayer.camzonecdn.com/v1.3/CamzoneStreamPlayer?iframe=yes&channel=polarplunge&muted=yes,
12,San Diego Zoo,"orangutan, siamang",https://ape.secureplayer.camzonecdn.com/v1.3/CamzoneStreamPlayer?iframe=yes&channel=ape&muted=yes,
13,San Diego Zoo,tiger,https://zssd-tiger.player.camzonecdn.com/v1.5/CamzoneStreamPlayer?channel=zssd-tiger&iframe=yes,
14,San Diego Zoo,African elephant,https://elephants.player.camzonecdn.com/v1.5/CamzoneStreamPlayer?channel=elephants&iframe=yes,
15,San Diego Zoo,"giraffe, rhino",https://zssd-kijami.player.camzonecdn.com/v1.5/CamzoneStreamPlayer?channel=zssd-kijami&iframe=yes,
16,San Diego Zoo,burrowing owl,https://zssd-owlaviary.player.camzonecdn.com/v1.5/CamzoneStreamPlayer?channel=zssd-owlaviary&iframe=yes,
17,San Diego Zoo,koala,https://zssd-koala.secureplayer.camzonecdn.com/v1.3/CamzoneStreamPlayer?iframe=yes&channel=zssd-koala&muted=yes,
18,San Diego Zoo,condor,https://zssd-condorhd.player.camzonecdn.com/v1.5/CamzoneStreamPlayer?channel=zssd-condorhd&iframe=yes,
20,National Zoo,cheetah,https://nationalzoo.si.edu/webcams/cheetah-cub-cam,"section.footerwrap, .cheetahcam1-Play"
21,National Zoo,naked mole-rat,https://nationalzoo.si.edu/webcams/naked-mole-rat-cam,"button.close, #nmrcam1-OverlayPlayIcon"
22,National Zoo,lion,https://nationalzoo.si.edu/webcams/lion-cam,"button.close, #lioncam-OverlayPlayIcon"
23,National Zoo,giant panda,https://nationalzoo.si.edu/webcams/panda-cam,"button.close, #pandacam1-OverlayPlayIcon"
24,National Zoo,Asian elephant,https://nationalzoo.si.edu/webcams/elephants,"button.close, #elephantcam-OverlayPlayIcon"
28,Monterey Bay Aquarium,sea nettles,https://www.youtube.com/embed/28cnxCbix0k?rel=0&enablejsapi=1&playsinline=0&autoplay=1,
29,Monterey Bay Aquarium,kelp forest,http://www.ustream.tv/embed/9948292?html5ui=1&showtitle=false&forced-quality=high&autoplay=1,
30,Monterey Bay Aquarium,moon jellyfish,https://www.youtube.com/embed/4s1iaXflVcg?rel=0&enablejsapi=1&playsinline=0&autoplay=1,
31,Monterey Bay Aquarium,open sea,http://www.ustream.tv/embed/9600798?html5ui=1&showtitle=false&forced-quality=high&autoplay=1,
33,Monterey Bay Aquarium,sea otter,https://www.ustream.tv/embed/13659436?html5ui=1&showtitle=false&forced-quality=high&autoplay=1,
34,Monterey Bay Aquarium,shark & fish,https://www.youtube.com/embed/wNcwiMcbiWg?rel=0&enablejsapi=1&playsinline=0&autoplay=1,
35,Georgia Aquarium,shark & fish,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_HQKO00000499,
36,Georgia Aquarium,jellyfish,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_BKTA00000AF7,
37,Georgia Aquarium,beluga whale,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_YCLP000009D0,
38,Georgia Aquarium,sea otter,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_TDQX0000083B,
39,Georgia Aquarium,African penguin,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_NESE0000043F,
40,Georgia Aquarium,puffin,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_YOGY00000575,
41,Georgia Aquarium,California Sea Lion,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_ZMZA0000060B,
42,Georgia Aquarium,Indo-Pacific barrier reef,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_EECM00000453,
43,Georgia Aquarium,piranha,https://video.nest.com/embedded/live/FfbQbO7srG,
44,Georgia Aquarium,river,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_KFUA00000944,
45,Seattle Aquarium,harbor seal,https://www.youtube.com/embed/597YQNtlyWk?&start=0&rel=0&autoplay=1,
46,Seattle Aquarium,sea otter,https://www.youtube.com/embed/wNwy2pMdsP4?&start=0&rel=0&autoplay=1,
47,Lone Pine Koala Sanctuary,koala,https://www.youtube.com/embed/bzl5MYQ4x8c?controls=0&autoplay=1,
48,Lone Pine Koala Sanctuary,dingo,https://www.youtube.com/embed/VmGrhiKzzP0?rel=0&autoplay=1,
49,Lone Pine Koala Sanctuary,skinks & bearded dragons,https://www.youtube.com/embed/0XeZXSdW7H4?rel=0&autoplay=1,
50,Lone Pine Koala Sanctuary,perentie,https://www.youtube.com/embed/aL-S8etEZlE?rel=0&autoplay=1,
51,Lone Pine Koala Sanctuary,platypus,https://www.youtube.com/embed/pLzyyQMKyoY?rel=0&autoplay=1,
53,Zoo Atlanta,giant panda,https://www.youtube.com/embed/Zb0w0MqFFYs?rel=0&autoplay=1,
54,Houston Zoo,giraffe,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_IYVU0000014B,
55,Houston Zoo,western lowland gorilla,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_EDQF00000245,
56,Houston Zoo,Asian elephant,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_ERHC00000141,
58,Houston Zoo,rhino,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_EVMS00000137,
59,Houston Zoo,chimpanzee,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_BCRQ00000132,
