id,facility,animal,url,play
60,Houston Zoo,flamingo,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_JQGG0000013C,
61,Edinburgh Zoo,giant panda,https://content.jwplatform.com/previews/meoYAvxh-Ov8ubaf2,
63,Edinburgh Zoo,penguins,https://content.jwplatform.com/previews/g160bDqO-Ov8ubaf2,
64,Edinburgh Zoo,Sumartran tiger,https://content.jwplatform.com/previews/TJdaoP3s-7ldQbxkB,
65,Edinburgh Zoo,koala,https://content.jwplatform.com/previews/LPsVdXll-Ov8ubaf2,
66,Edinburgh Zoo,lion,https://streaming4.camvista.com:5443/LiveApp/play.html?name=121249950539569009428767,
67,Hattiesburg Zoo,two-toed sloth,https://video.nest.com/embedded/live/jUPw0HMx8J,.vjs-big-play-button
69,OdySea Aquarium,shark & fish,https://v.angelcam.com/iframe?v=49yjv86py2&autoplay=1,
70,Tennessee Aquarium,reef,https://tnaqua.org/live/secret-reef/,
71,Tennessee Aquarium,"gentoo penguins, macaroni penguins",https://tnaqua.org/live/penguins-rock/,
72,Tennessee Aquarium,river otter,https://tnaqua.org/live/river-otter-falls/,
73,Tennessee Aquarium,tropical reef,https://tnaqua.org/live/tropical-fish/,
74,Tennessee Aquarium,moon jellyfish,https://tnaqua.org/live/jellies/,
75,Tennessee Aquarium,"ring-tailed lemurs, red-ruffed lemurs",https://tnaqua.org/live/lemur-forest/,
77,Vancouver Aquarium,sea nettles,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_PSLD0000004D,
78,Vancouver Aquarium,African penguin,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_WATT0000004F,
79,Vancouver Aquarium,sea otter,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_NQAH000003DB,
80,Melbourne Zoo,"fiordland penguins, little penguins",https://www.youtube.com/embed/3CAU9Ex_GKk?rel=0&autoplay=1,
81,Melbourne Zoo,giraffe,https://www.youtube.com/embed/hNexlUkTTuc?rel=0&autoplay=1,
82,Healesville Sanctuary,koala,https://www.youtube.com/embed/OHbk7Ghz-5E?rel=0&autoplay=1,
84,Melbourne Zoo,snow leopards,https://www.youtube.com/embed/4wb6o3QvrxY?rel=0&autoplay=1,
85,Werribee Open Range Zoo,lion,https://www.youtube.com/embed/gTz_7tKUfYM?rel=0&autoplay=1,
86,Memphis Zoo,hippo,https://relay.ozolio.com/pub.api?cmd=iframe&oid=CID_UXQF00000917,
90,Ouwehand Park,polar bear,https://www.youtube.com/embed/2DoCgGP_0g0?autoplay=1,
97,Oregon Coast Aquariuim,shark & fish,https://aquarium.org/live-cameras/shark-cam/,.hdrelay-2017-clicktoplay
98,Oregon Coast Aquariuim,aviary,https://aquarium.org/seabird-cam/,.hdrelay-2017-clicktoplay
99,Oregon Coast Aquariuim,sea otter,https://aquarium.org/otter-cam/,.hdrelay-2017-clicktoplay
100,California Academy of Sciences,African penguin,https://www.youtube.com/embed/-wpshgQpLPw?autoplay=1,
101,California Academy of Sciences,reef lagoon,https://www.youtube.com/embed/bq2ZR-KMr_A?autoplay=1,
102,California Academy of Sciences,Philippine coral reef,https://www.youtube.com/embed/edt3EBvFWfA?autoplay=1,
103,Zoo Miami,meerkat,https://public.earthcam.net/tJ90CoLmq7TzrY396Yd88M7t21X68290TUUHYlT_3wo!.tJ90CoLmq7TzrY396Yd88HhIJ71-wvjcjuEPyBn9PFE!.tJ90CoLmq7TzrY396Yd88Gu00p1a8tT5FnSCfDKgm4A!/meerkat_exhibit/meerkat_cam/live,
107,Kansas City Zoo,"macaroni penguin, king penguin",https://www.youtube.com/embed/CLS2Uxxr8xk?autoplay=1,
108,Kansas City Zoo,Bornean orangutan,https://www.youtube.com/embed/OVVFWyB5XSE?autoplay=1,
109,Alaska Zoo,polar bear,https://www.youtube.com/embed/hWbt2eVCEe8?autoplay=1,
110,Chattanooga Zoo,meerkat,http://www.chattzoo.org/streams/?id=2224,.jw-reset
111,Chattanooga Zoo,snow leopards,http://www.chattzoo.org/streams/?id=2228,.jw-reset
112,Chattanooga Zoo,tamarin,http://www.chattzoo.org/streams/?id=2234,.jw-reset
113,Chattanooga Zoo,spotted genet,http://www.chattzoo.org/streams/?id=2235,.jw-reset
114,Cheyenne Mountain Zoo,giraffe,https://www.youtube.com/embedXtRdw-YK2i8?autoplay=1,
123,Greenville Zoo,giraffe,https://public.earthcam.net/tJ90CoLmq7TzrY396Yd88EcZCvjINnq0l56Ndt3BgZM!.tJ90CoLmq7TzrY396Yd88Owz3clOgztAIKv3BW9nKyA!.tJ90CoLmq7TzrY396Yd88Jv0uyg2nfZkWPNAt6hpfXQ!/giraffe_project/giraffe_barn/live,
124,Highland Wildlife Park,snow monkey,https://content.jwplatform.com/previews/gnCCEINK-7ldQbxkB,
139,Vancouver Aquarium,sea otter,https://www.youtube.com/embed/OjqyQr1Fa4g?autoplay=1,
140,Zoo Montana,grizzly bear,https://public.earthcam.net/tJ90CoLmq7TzrY396Yd88LfUbRRthpUAS8O8784T_Q0!.tJ90CoLmq7TzrY396Yd88Pwo2Fu2e9s59LPSSHzv2TY!.tJ90CoLmq7TzrY396Yd88EUQCXkTyac_F5FEdW1tAQQ!/zoo_montana_cam/montana_bear_cam/live,
